Date,Open,High,Low,Close,Adj Close,Volume,Open-Google,Volume-Google,Open-IBM,Volume-IBM,Open-Shell Oil,Volume-Shell Oil,Open-General Motors,Volume-General Motors
5/14/2019,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452226,1142.319946,2019600,131.820007,3280400,64.82,1048300,36.810001,6534600
5/15/2019,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112919,1122.550049,2965100,132.589996,2551000,64.910004,1601800,36.630001,8190400
5/16/2019,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581,1171.839966,1765400,134.740005,3017300,65.019997,986900,37.299999,5734600
5/17/2019,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905,1175.829956,1268100,134.679993,2619100,65.260002,1069300,37.009998,7970000
5/18/2019,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286561,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2019,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422039,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2019,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404339,1153,1530100,133.529999,3264500,65.25,839500,36.66,17521900
5/21/2019,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056,1154.47998,1028100,136.119995,2503500,65.639999,913700,37,8387600
5/22/2019,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473174,1151.25,941300,136,1849800,65.379997,1215000,37,13264100
5/23/2019,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820,1146.069946,1260700,135.130005,5343400,63.630001,1515800,35.150002,13746200
5/24/2019,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126990,1152,927700,133.529999,2596100,64.120003,755100,35.400002,5262500
5/25/2019,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813106,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2019,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2019,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839563,NA,NA,NA,NA,NA,NA,NA,NA
5/28/2019,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919266,1141.47998,1047400,132.130005,4908800,64.339996,852500,35.200001,7895400
5/29/2019,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966,1132.699951,1811500,130,3679000,62.77,990500,34.669998,12911200
5/30/2019,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551,1120.150024,904400,129.740005,2741900,63.290001,1964200,34.759998,8550000
5/31/2019,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957,1105.640015,1579100,128.440002,3539300,62.580002,1964800,33.299999,15779900
6/1/2019,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303543,NA,NA,NA,NA,NA,NA,NA,NA
6/2/2019,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2019,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436,1066.930054,4844500,127.099998,4266900,63.459999,1295400,33.349998,11019400
6/4/2019,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731548,1044.48999,3025600,129.559998,3913500,63.299999,1229300,34.380001,12875700
